     read       raw corrected
       id    length    length
--------- --------- ---------
      513      2610      2601
      514       681       670
      515      8581      8461
      516       415       415
      517      2143      2106
      518      4804      4737
      519       880       874
      520     13025     13015
      521      6666      6548
      522      5287      5276
      523       793       774
      524      8323      8210
      525      2076      2110
      526      1145      1131
      527      2036      1995
      528       770       768
      529      1078      1077
      530      4174      4133
      531      9704      9630
      532       670       660
      533       934       934
      534      5500      5451
      535       472       465
      536      2720      2682
      537      2369      2371
      538      1604      1558
      539      2007      1996
      540      3210      3138
      541      2183      2136
      542      3530      3503
      543       555       556
      544       849       846
      545       389       379
      546      2635      2592
      547      2510      2460
      548      6311      6237
      549      2354      2332
      550      1960      1958
      552      9369      9217
      553      6304      6424
      554       200       200
      555      1100      1058
      556       369       366
      557      1694      1668
      558       388       386
      559      1478      1473
      560       572       569
      561      1457      1453
      562      1193      1187
      563       863       863
      564      1063      1058
      565       852       840
      566      1025      1014
      567      4184      4080
      568      3787      3765
      569      4433      4404
      570      2064      1997
      571       976       952
      572      2584      2456
      573       740       688
      575      4751      4674
      578       653       626
      579      3412      3288
      580       998       963
      581       694       662
      582      1739      1680
      583      1168      1168
      584      4056      4040
      585      5062      4914
      586       990       955
      587      3016      2944
      588      1345      1318
      589      1258      1258
      590       236       236
      593      1282      1278
      594      1637      1637
      595      1874      1874
      596      9608      9415
      597      2126      2113
      598      1248      1225
      599      3873      3810
      600      6673      6579
      601      3295      3295
      602      4416      4269
      603      5147      5124
      604      1710      1698
      605      1111      1095
      607      2537      2536
      608      3135      3088
      609      4413      4201
      610      1264      1262
      612     21732     21558
      614      3614      3417
      615      1607      1588
      616      7480      7365
      617      1529      1529
      619       856       846
      620      1589      1554
      621      1725      1706
      623      1880      1868
      624      3144      3017
      625      1290      1255
      626      1058      1031
      627      1991      1930
      628      1703      1703
      629      3238      3238
      630      1104      1090
      631       327       323
      632      5096      4987
      633      1550      1525
      634      2388      2308
      635      2267      2256
      637      7015      6948
      638      6897      6872
      639      3232      3173
      640      2202      2114
      641      4946      4891
      642       854       863
      645       686       686
      646      2266      2266
      647       850       836
      648     12912     12719
      649      2265      2242
      650       892       883
      651       950       950
      652      1601      1598
      653      2618      2564
      654      1357      1306
      655      2590      2583
      656       104       104
      657       720       682
      658      1253      1253
      659      3260      3246
      660      3413      3388
      661      1680      1654
      663      6013      6013
      664       640       640
      665      2379      2320
      666      8835      8549
      667      1139      1128
      668      6304      6168
      669      3540      3506
      670      2350      2350
      671      1576      1569
      672      1604      1590
      673      6518      6366
      674      1235      1223
      675       472       434
      676      2492      2475
      677      1409      1406
      678      1624      1614
      679      1185      1171
      680      6928      6707
      681      9742      9232
      682     18766     18766
      683     18075     17683
      684      1294      1294
      686       473       477
      688       360       360
      689       687       669
      690      1779      1742
      691       634       634
      692      2206      2197
      693     10713     10632
      694      1004       982
      695      4694      4553
      696       811       801
      698      1559      1539
      699      3363      3283
      700      1362      1362
      701      1469      1425
      703      1465      1403
      704      1862      1867
      705      2546      2536
      706      1103      1078
      707      1942      1925
      708      1347      1337
      709      4031      3869
      711       734       727
      712      1616      1607
      713       974       973
      715      2705      2698
      716      2236      2174
      717     45057     44092
      718      3011      2981
      719       995       997
      720      1313      1300
      721      9245      9069
      722      2131      2092
      723      2981      2950
      724     14212     13931
      725      3186      3186
      726       691       689
      728      4679      4650
      729      4262      4262
      730      5187      5035
      731      1319      1301
      732      8540      8484
      734      4974      4856
      735      1468      1412
      736      2801      2692
      737      1808      1784
      738      1227      1194
      739      3884      3883
      740      1038       996
      741      3520      3251
      742      5217      5150
      743      1043      1043
      746       621       621
      748      3728      3549
      749     10249     10245
      750       842       829
      752      1497      1482
      753       901       900
      755      3167      3167
      756     12674     12499
      757      1522      1514
      758      1921      1921
      759      2718      2687
      760      4084      4056
      761      1093      1067
      762      4935      4935
      763       733       720
      764      1522      1519
      765      1163      1152
      766       906       880
      768      9028      8906
      769       465       463
      770      1152      1146
      771      1872      1872
      772      1534      1525
