     read       raw corrected
       id    length    length
--------- --------- ---------
     1995       885       880
     1996       919       908
     1998      4572      4572
     2000      1502      1484
     2002      2064      2064
     2008      1653      1649
     2009     32621     32607
     2010     10614     10614
     2012     19044      6441
     2014      3887      3864
     2017       787       787
     2018      1279      1279
     2019      4446      4446
     2025     14421     14421
     2027     52626     52712
     2028    100329    100381
     2029      7208      7201
     2031    156329    156372
     2032    156326    156326
     2033      9603      9603
     2036      8575      8575
     2037       220       220
     2038       882       882
     2039       484       484
     2041       402       393
     2042     11984     11745
     2043      5271      5302
     2044      2178      2178
     2048     23745     23652
     2049      6855      6855
     2050       141       141
     2052    140894    140894
     2053       418       418
     2054       493       493
     2056       584       584
     2057      7315      7315
     2058       880       878
     2059       942       942
     2060      2976      2976
     2061     14456     14456
     2062      3287      3258
     2063       443       443
     2064      4652      4652
     2065       848       848
     2072       280       280
     2073      1145      1145
     2075       534       538
     2077      1447      1447
     2078      1147      1147
     2081       106       106
     2083      2201      2201
     2085     42626     42626
     2087      2892      2892
     2088       482       474
     2089     64552     64552
     2090       142       142
     2091     32047     32009
     2092       816       816
     2094      1685      1685
     2095     23391     23387
     2096      2311      2311
     2098       601       601
     2099      4715      4715
     2100      3102      3091
     2104       883       883
     2106     10303     10075
     2107       217       218
     2109     10033     10005
     2110      4903      4827
     2111      1118      1118
     2112       210       207
     2118      5336      5336
     2120     12836     12318
     2123      1028      1030
     2125      2908      2908
     2127      2389      2389
     2128      4495      4495
     2129       743       743
     2130      3909      3909
     2131       297       297
     2135       990       988
     2139      1214      1222
     2141      3596      3596
     2144      1127      1127
     2145      5715      5715
     2148      1431      1343
     2150      1525      1525
     2153     12011     12011
     2155       933       933
     2157      9654      9654
     2158      5016      4942
     2159      3663      3591
     2161      3035      3010
     2162      1298      1298
     2163        90        90
     2167      7878      7838
     2170        75        75
     2172     23567     23567
     2176    158878    158878
     2177      4536      4536
     2179      1024      1013
     2182     45966     45966
     2183       265       265
     2184      5944      5944
     2185     10143      9617
     2186      5653      5653
     2187    125718    125718
     2192      2698      2698
     2197       193       193
     2198      1601      1601
     2199      5474      5474
     2201      1629      1617
     2205      1059      1059
     2207      1735      1735
     2208       179       179
     2209      3004      2955
     2215      8394      8394
     2216       855       855
     2217       421       421
     2223     41152     41132
     2225      2849      2856
     2229      4387      4308
     2230      2380      2380
     2232       105       105
     2233     12320     12320
     2234      6281      6281
     2236      8787      8557
     2238      1109      1105
     2239      3983      3983
     2240      1329      1329
     2241    348196    348196
     2242      1241      1241
     2244      1120      1120
     2249    179692    179692
     2250      1091      1091
     2251     22851     22319
     2256      7000      7000
     2257      2225      2225
     2258    105850    105850
     2259     79727     79727
     2261      1544      1555
     2262     16588     16595
     2263       909       885
     2264       294       292
     2265       969       968
     2267      2561      2561
     2268      6763      6763
     2270      1178      1178
     2271      5225      5148
     2276       109        99
     2277     12839     12800
     2278       328       328
     2280      1491      1491
     2283      5917      5676
     2284       412       412
     2285      4021      4021
     2287       547       547
     2290      1574      1574
     2292      3577      3545
     2293      1271      1271
     2294     11918     11726
     2295      2195      2195
     2296      1459      1459
     2297     12240     12240
     2298       496       496
     2299      6119      5874
     2300       576       576
     2301      1170      1156
     2303      7076      7076
     2304     17795     17167
     2305       203       203
     2306      3210      1313
     2307      1333      1332
     2308       284       284
     2312     10667     10652
     2313     17896     17899
     2319      3967      3967
     2320      1610      1610
     2324      1508      1508
     2325      1187      1187
     2327      2166      2167
     2330       691       693
     2331       304       301
     2332     11429     10634
     2335     19486     19486
     2337       253       251
     2339      3813      3676
     2340      2249      2205
     2341       599       599
     2345      3693      3616
     2347       643       632
     2350      4944      4937
     2357      1808      1808
     2358      1025       978
     2359       259       261
     2361       579       579
     2362       228       228
     2364      8549      8556
     2366       314       313
     2367     30899     30883
     2373      1692      1692
     2374     46712     46712
     2376       672       660
     2377     62358     62318
     2379      8180      7998
     2382       826       826
     2384    189850    189850
     2385      4266      4266
     2390      1686      1686
     2391       255       255
     2393        71        71
     2394     10672     10672
     2399       491       491
     2400      4214      4157
     2401      3188      3099
     2405       146       146
     2407       361       361
     2410       802       802
     2411       779       779
     2414    145836    145843
     2416      5273      5257
     2417       913       913
     2418     28380     28342
     2422      2739      2730
     2424       731       731
     2425     17422     17422
     2428       212       212
     2430       159       159
     2431     12389     12389
     2432      2316      2246
     2437      8749      2261
     2442       661       661
     2446       417       417
     2447      1173      1173
     2448      3848      3848
     2453      2817      2817
     2456       852       852
     2458       263       263
     2459       596       596
     2461      2488      2488
     2463      2158      2158
     2464     10169     10160
     2466       246       246
     2467        87        87
     2468       121       121
     2469       690       690
     2476       162       162
     2478       705       705
     2479       521       521
     2480     10922     10912
     2481    107121    107121
     2482      1202      1202
     2484       382       382
     2485       100       100
     2487      1670      1670
     2488      1347      1292
     2489      2402      2402
     2491       125       126
     2492        75        75
     2493      6211      6211
     2495       419       410
     2498      1807      1807
     2499     17033     17033
     2507       453       453
     2509      1918      1918
     2511       757       757
     2512      7954      7954
     2514        69        69
     2515      2003      2003
     2516      3698      3698
     2517     18580     17944
     2522      6592      6592
     2525      2738      2738
     2526      5870      5870
     2527     16324     16320
     2529       300       300
     2531      4155      4170
     2532     13218     13218
     2534      1938      1938
     2536     12864     12697
     2537      2544      2527
     2540       903       903
     2542       299       299
     2543      5776      5736
     2544      4129      4076
     2546      1253      1251
     2547      1361      1361
     2549        52        52
     2550      1887      1887
     2552       680       663
     2554     28932     28932
     2556      2055      2015
     2559       657       657
     2561       138       138
     2562       203       203
     2563     10520     10524
     2564      2290      2247
     2566      2201      2190
     2570       583       583
     2571      1376      1376
     2572     40103     39995
     2575      6650      6283
     2576      3324      3291
     2578      1677      1677
     2581      2499      2499
     2582      4951      5007
     2587     14204     13446
     2589      4568      4571
     2590      8014      8014
     2592      2212      2212
     2597       148       148
     2599       628       628
     2601     15620     15620
     2608      6136      6015
     2609       861       843
     2612      1066      1059
     2614    279653    279653
     2615      5926      5926
     2623      2615      2613
     2624     81120     81120
     2625      6161      6127
     2626    237539    237539
     2628    187570    187570
     2629     68276     68276
     2631     16998     16337
     2633      3520      3520
     2634     75779     75779
     2636     14705     14705
     2637     17268     17143
     2640     16637     16016
     2642      1724      1724
     2643      1185      1185
     2644     39859     39975
     2646      1900      1900
     2650      1206      1151
     2651      4748      4625
     2652      1936      1938
     2653       664       658
     2655      1562      1562
     2657     15065      4385
     2659       365       365
     2662     38383     38370
     2665     10348     10317
     2667       109       109
     2668      2785      2726
     2670     11451     11352
     2671       200       201
     2676       800       800
     2677       482       482
     2680      1643      1643
     2682      1653      1653
     2683     86914     86914
     2684        61        61
     2685     17181     17181
     2686      3712      3712
     2688      2503      2503
     2689      7914      7914
     2690      5600      5600
     2692      3713      3713
     2693       455       454
     2695      5619      5619
     2696      1059      1059
     2700      1028       989
     2703      5128      5106
     2707     15115     15115
     2709       833       831
     2713       327       327
     2714      1127      1127
     2715      1669      1669
     2718      5084      5084
     2719      6624      6628
     2720     10291     10291
     2721       199       199
     2729      4859      4859
     2731      2817      2786
     2735       590       593
     2736      2831      2831
     2737      1322      1291
     2738      1051      1051
     2742       397       397
     2743      1232      1225
     2746       140       140
     2749      1593      1593
     2750      7024      6714
     2754       122       122
     2755      4857      4682
     2757       129       129
     2759      6620      6620
     2760        55        55
     2761     50647     50647
     2762      2883      2883
     2765       324       324
     2767      2101      2101
     2768      1473      1473
     2769      1429      1413
     2770       222       222
     2771       232       232
     2776      5054      5020
     2777      4096       381
     2778       568       568
     2779      2025      2025
     2780      8655      8343
     2782      4944      4929
     2784      1181      1181
     2785      1032      1032
     2789       170       170
     2791      1818      1818
     2793     72819     72819
     2794      8680      8680
     2795     15404     15404
     2796      2651      2651
     2799      1406      1345
     2806      3646      3647
     2809      1612      1612
     2814      2244      2244
     2815       638       637
     2817      1185      1172
     2819       126       126
     2821      2144      2144
     2825      5763      5763
     2826     34811     34561
     2829      4459      4459
     2830       581       575
     2832       111       111
     2836      1709      1709
     2839      4333      4333
     2840       302       300
     2842      2976      2976
     2846       891       887
     2847       631       631
     2849      4810      4810
     2851      6931      6931
     2852      1583      1491
     2853       547       547
     2855        76        76
     2856     18261     18033
     2857      1555      1542
     2858      1614      1592
     2860       315       315
     2861     13057      3698
     2864       437       437
     2866    140292    140292
     2867      5408      5408
     2869       615       615
     2872      3825      3822
     2873      1635      1635
     2879       807       788
     2881       416       416
     2883     17268     17268
     2886       142       142
     2891      2139      2139
     2892      1237      1230
     2893      1601      1591
     2895      1343      1343
     2899      2543      2543
     2902      6644      6540
     2905      2321      2321
     2908      1776      1776
     2909      1218      1218
     2912      2229      2229
     2914      5351      5351
     2915     20282     20118
     2916      1907      1857
     2921      5727      5578
     2922      2670      2670
     2923      9988      9988
     2926      4706      4638
     2927     84706     84706
     2929      1699      1699
     2930      5813      5627
     2933       413       413
     2935      1966      1966
     2937      2342      2342
     2939      1032      1032
     2940       124       124
     2942     19021     18851
     2945      5119      5119
     2950      5304      5304
     2952       825       811
     2954        93        93
     2955      2880      1227
     2957      6097      5878
     2958      4067      4067
     2959      5008      5008
     2960      1456      1456
     2961      7181      7161
     2962       161       161
     2964    388351    388351
     2965        93        93
     2968      6676      6676
     2969       453       453
     2972      1051      1051
     2973      1912      1912
     2976       291       291
     2977      5512      5512
     2978       960       916
     2988      1220      1220
     2990     35858     34453
     2993       200       197
     2994      8524      8445
     2996      4769      4696
     2999       112       115
     3003      8967      8740
     3007       680       679
     3008      1300      1250
     3009    118389    118389
     3010      2517      2517
     3011      2528      2528
     3012      7292      7295
     3014     62660     62681
     3015      1100      1100
     3018      7158      7158
     3023      5031      5030
     3025      3839      3805
     3029     12707     12618
     3031       342       342
     3033       777       757
     3035      3564      3511
     3036       124       124
     3037       554       554
     3039      3229      3229
     3040      6088      6030
     3041      1217      1217
     3042      6604      6574
     3043       402       402
     3044      1824      1782
     3047      1449      1449
     3048       885       869
     3049      3532      3532
     3051       272       272
     3052     38483     38337
     3054       441       430
     3055     10103     10103
     3057       403       403
     3059      1889      1889
     3062       920       920
     3063        75        75
     3064      1519      1519
     3066      1711      1711
     3068       793       793
     3069     14919     14901
     3071      2222      2222
     3074      1711      1708
     3075     26402     26405
     3076       364       364
     3078      1239      1215
     3080      5715      5613
     3081     39782     39782
     3082      3645      3593
     3084      8076      7873
     3085       431       431
     3086      5777      5798
     3087       306       306
     3089       382       388
     3091        57        57
     3094       866       851
     3097     18413     18413
     3098      4069      4069
     3099     33479     32934
     3105      1949      1949
     3109       229       224
     3111      4664      4596
     3112      1303      1303
     3114       417       417
     3115     11775     11424
     3117        68        68
     3118       279       279
     3120    178475    178475
     3122      6138      6037
     3124      5532      5532
     3126     17022     17036
     3127      1475      1478
     3130     68936     68936
     3135      4830      4521
     3136      3041      2941
     3137     10667     10667
     3138     10801     10801
     3139     50582     50553
     3140     64064     64064
     3141      1365      1346
     3142     13949     13908
     3143      3026      3047
     3144    110370    110112
     3145     34972     34972
     3147      4588      4588
     3152       949       949
     3154     97084     97084
     3155      5527      5527
     3161       705       705
     3163     13750     13756
     3164    194975    194975
     3165      2883      2883
     3166     13629     13629
     3168     21212      2653
     3169      1569      1569
     3172      3072      3072
     3179       290       290
     3182       441       441
     3183      2366      2366
     3188       101       100
     3191      2842      2804
     3192     29633     29641
     3194     14370     14317
     3195    130350    130350
     3198     72850     72850
     3199       144       144
     3200      6391      6391
     3201      8386      8348
     3202      1981      1981
     3204       948       930
     3206      1907      1898
     3211      1052      1046
     3214       298       283
     3216     13582     13247
     3220      7458      7309
     3225      3771      3761
     3226      1042      1030
     3228       733       733
     3229       888       888
     3233      1786      1733
     3234      3441      3440
     3235    176503    176503
     3239    255469    255469
     3240     49706     49456
     3242      3154      3154
     3245     10325     10156
     3246      6877      6877
     3248      5532      5532
     3249      4035      4035
     3250      2578      2574
     3251       614       614
     3252        71        71
     3255       555       555
     3256       530       532
     3258      3660      3565
     3260       952       952
     3263       284       284
     3266      1755      1752
     3270       779       780
     3273      1322      1322
     3279     24948     24948
     3282     25526     25526
     3284        63        63
     3285     32735     32042
     3286      2270      2270
     3293      4796      4796
     3294      4744      4744
     3295      3285      3285
     3301       344       342
     3306      1003       993
     3307        67        67
     3313      2512      2512
     3316      1185      1185
     3317      3716      3617
     3318       367       371
     3319       866       849
     3323     32005     32005
     3324     10618     10618
     3328     23604     23132
     3329       285       285
     3331     27753     27707
     3337        97        97
     3340       162       162
     3345      2284      2284
     3346      3399      3399
     3347      2508      2508
     3351       230       230
     3353       535       535
     3355    203681    203681
     3356        70        70
     3358       683       660
     3360       242       242
     3361       464       457
     3363      6467      6303
     3364      6003      6003
     3369      9798      9721
     3372       824       824
     3373     37941     37941
     3374     13499     13372
     3376      2782      2732
     3378     32796     32018
     3379       871       871
     3380       928       913
     3382       239       239
     3383     27621     27407
     3385      4013      3924
     3390      2839      2839
     3391      4100      4097
     3394      1373      1373
     3399      2868      2868
     3400      2513      2513
     3401       559       563
     3406      1278      1263
     3408      2067      2032
     3409      1254      1221
     3411      3703      3703
     3414     11595     11595
     3415       485       486
     3417      6631      6484
     3422      4281      4281
     3426       912       905
     3430      4734      4734
     3431     17560     17560
     3434     89967     89967
     3436      1064      1064
     3437     10524     10501
     3439      3874      3874
     3440      5790      5682
     3441       326       326
     3446     22457     22385
     3449       258       259
     3452      4615      4615
     3453      1884      1884
     3455     42275     41982
     3457      3369      3349
     3459       527       527
     3460     42841     42841
     3463       880       873
     3466     16800     16800
     3469      8174      8174
     3472      2637      2575
     3473       425       419
     3476      2679      2679
     3477      2511      2511
     3478       778       778
     3479      1670      1605
     3480     13739     13739
     3481     12031     12087
     3483     84908     84908
     3487      1554      1548
     3488       212       209
     3490      5072      5072
     3491       822       822
     3492      1250      1239
     3496      4512      4512
     3497      3265      3193
     3498      2524      2473
     3499     32137     32139
     3503      1118      1107
     3504    131279    131279
     3508      1346      1324
     3509     12498     12499
     3510       107       107
     3511       709       709
     3513     19654     19654
     3515      3612      3612
     3516      1137      1137
     3518       146       146
     3519      7195      6645
     3520     16125     15494
     3522      4275      4230
     3523      2727      2727
     3524       756       747
     3525       416       406
     3526        70        70
     3528      8010      7762
     3531       488       486
     3535      1517      1512
     3540     19381     19381
     3542     14642     14562
     3544       585       597
     3546       235       233
     3549      1894      1895
     3550       938       938
     3554      2612      2612
     3555      1634       668
     3557       456       456
     3560       503       503
     3563       433       433
     3566      3852      3769
     3567      8330      8397
     3568       329       327
     3571      2976      2976
     3572      2310      2221
     3574      1191      1168
     3575     28245     28245
     3578      8325      8325
     3579       607       607
     3587      3914      3914
     3588      4326      4240
     3589      5235      5140
     3593     25163     24577
     3594    287191    287191
     3595        54        54
     3596       229       229
     3602     21172     21274
